theta,DeFT_1,S_1,DeFT_2,S_2,DeFT_3,S_3,DeFT_4,S_4,DeFT_5,S_5,DeFT_6,S_6,DeFT_7,S_7,DeFT_8,S_8,DeFT_9,S_9
0.0,224888,1637,224888,1814,224888,922,224888,660,224888,620,224888,1162,224888,898,224888,1165,224888,1166
0.1,228956,42335,228956,58139,228956,60758,228956,56340,228956,53423,228956,50780,228956,54640,228956,50817,228956,46040
0.23,228975,95235,228975,130405,228975,117932,228975,106483,228975,110196,228975,111036,228975,108124,228975,104387,228975,98794
1.62,229108,127258,229108,164746,229108,156662,229108,138186,229108,144765,229108,146757,229108,145928,229108,139745,229108,139209
6.99,229915,154467,229915,187401,229915,177544,229915,157952,229915,166200,229915,167281,229915,165952,229915,161241,229915,162522
17.15,230637,173282,230637,207360,230637,198619,230637,175469,230637,183989,230637,185747,230637,184890,230637,181799,230637,181156
29.56,230852,184047,230852,216283,230852,210330,230852,188635,230852,199503,230852,197119,230852,195049,230852,192756,230852,193055
139.51,231463,199883,231463,223743,231463,221096,231463,210528,231463,214079,231463,211353,231463,209424,231463,206069,231463,205251
308.71,231463,210818,231463,227003,231463,226841,231463,219923,231463,222473,231463,219285,231463,217702,231463,217016,231463,215246
1453.07,231463,231463,231463,231436,231463,231338,231463,231176,231463,231338,231463,231338,231463,231463,231463,231463,231463,231312
2320.81,231463,231463,231463,231463,231463,231462,231463,231463,231463,231463,231463,231463,231463,231463,231463,231463,231463,231463
